sampleID	d15N	organicd13C	nitrogenPercent	organicCPercent
TOOL_043-O-5-7-20170719	2.5	-25.8	0.78	39.76
TOOL_041-O-13-5.5-20170719	0.7	-26.1	1.37	43.58
TOOL_043-M-5-7-20170719	2.4	-27.5	0.12	2.59
TOOL_041-O-4.5-27-20170719	-0.7	-26.5	0.92	36.57
TOOL_041-O-4.5-27-20170719	-0.4	-26.5	0.98	36.85
TOOL_041-M-4.5-27-20170719	3	-26.1	0.15	3.09
TOOL_043-O-7.5-31-20170719	3.8	-25.7	0.89	34.95
TOOL_043-O-32.5-27-20170719	3	-26.6	1.9	37.76
TOOL_041-O-36.5-26-20170719	1.6	-26.8	1.48	31.59
TOOL_042-O-9.5-15-20170719	0.9	-26	1.43	32.83
TOOL_042-M-9.5-15-20170719	2.6	-27.4	0.17	3.97
TOOL_042-O-22-9.5-20170719	2.8	-25.6	0.93	23.64
TOOL_042-M-22-9.5-20170719	3.7	-27.2	0.17	4.27
TOOL_044-O-1.5-28.5-20170719	0.4	-27.2	1.27	40.6
TOOL_044-M-1.5-28.5-20170719	2.2	-26.8	0.35	7.51
TOOL_042-O-20-33-20170719	2.1	-25.7	1.07	40.32
TOOL_044-O-35-32-20170719	2.6	-26.6	1.24	26.67
TOOL_044-M-35-32-20170719	3.7	-26.5	0.18	3.15
TOOL_042-M-20-33-20170719	3.3	-26.6	0.27	5.65
TOOL_044-O-35-14.5-20170719	1.8	-25.9	1.51	28.9
TOOL_044-M-35-14.5-20170719	2.9	-26.1	0.07	1.15
TOOL_005-O-16.5-0-20170721	2.2	-25.9	1.4	42.15
TOOL_005-M-16.5-0-20170721	3.3	-26.6	0.55	10.75
TOOL_005-M-16.5-0-20170721	3.3	-26.6	0.55	10.54
TOOL_005-O-31.5-6-20170721	2.7	-26.6	1.4	40.72
TOOL_006-O-39-35-20170721	1.6	-25.9	1.94	39.05
TOOL_006-M-39-35-20170721	1.1	-26.7	0.27	5.06
TOOL_005-M-31.5-6-20170721	2.8	-27.2	0.26	5.42
TOOL_006-O-34-17.5-20170721	2.1	-25.6	2.05	35.69
TOOL_005-O-4.5-20.5-20170721	2.9	-26.4	1.19	34.06
TOOL_005-M-4.5-20.5-20170721	3.2	-27.7	0.13	3.1
TOOL_006-M-34-17.5-20170721	1.3	-26.4	0.37	6.4
TOOL_006-O-11.5-5.5-20170721	1.4	-25.5	1.63	32.84
TOOL_002-O-9.5-21.5-20170721	3.2	-26.5	2.28	40.43
TOOL_001-O-7-18-20170721	1.5	-26.1	1.29	31.22
TOOL_001-M-7-18-20170721	1.4	-27.2	1.27	29.65
TOOL_002-M-9.5-21.5-20170721	3	-27.2	0.29	5.34
TOOL_001-O-6-21.5-20170721	1.4	-26	1.81	37.12
TOOL_002-O-3-6-20170721	3.4	-26	1.81	32.44
TOOL_002-O-3-6-20170721	3.4	-25.9	1.77	31.72
TOOL_001-M-24.5-0-20170721	-1	-27.5	0.14	3.35
TOOL_002-M-3-6-20170721	4.2	-26	0.48	7.59
TOOL_001-O-24.5-0-20170721	1.9	-26.3	0.78	21.38
TOOL_002-O-28-1.5-20170721	2.5	-26.5	2.13	38.95
TOOL_003-O-0-22.5-20170726	1.9	-27.2	2.37	39.01
TOOL_004-O-34-34.5-20170726	1.8	-26.3	1.5	29.39
TOOL_003-O-5-14-20170726	2.4	-27	2	30.18
TOOL_003-O-28-9.5-20170726	1.7	-26.2	1.54	26.96
TOOL_004-M-2.5-11.5-20170726	3.2	-26.9	0.21	4.13
TOOL_004-M-3-22.5-20170726	1.9	-27.7	0.15	2.87
TOOL_004-O-3-22.5-20170726	1.5	-26.4	1.44	30.76
TOOL_004-M-34-34.5-20170726	1.9	-27.3	0.18	3.58
BONA_071-O-6.5-19-20190826	-1.8	-28	1.03	50.6
BONA_071-M-6.5-19-20190826	4.4	-26.3	0.18	3.7
BONA_071-M-37-8.5-20190826	4.1	-25.7	0.58	11.39
BONA_071-O-37-8.5-20190826	1.9	-27.4	1.4	43.07
BONA_071-O-39-31.5-20190826	1.1	-27.9	0.76	47.09
BONA_071-M-39-31.5-20190826	3.9	-27	0.1	2.07
BONA_070-M-26-8.5-20190826	4.1	-26.6	0.4	8.31
BONA_070-O-26-8.5-20190826	1.2	-28.7	1.25	50.48
BONA_080-O-5-9-20190826	2.9	-27.4	1.02	34.67
BONA_080-O-5-9-20190826	2.9	-27	0.96	35.89
BONA_080-M-5-9-20190826	4.4	-26.1	0.35	7.62
BONA_080-M-8.5-24-20190826	3.7	-26.3	0.26	5.13
BONA_080-O-8.5-24-20190826	2.4	-27.9	1	32.76
BONA_070-M-30-21.5-20190826	4.7	-26.3	1.49	35.73
BONA_070-O-30-21.5-20190826	4.6	-26.7	1.34	48.07
BONA_070-O-3-13.5-20190826	2.7	-27.2	1.7	46.2
BONA_070-M-3-13.5-20190826	2.5	-26.5	0.51	11.14
BONA_080-O-30-6-20190826	2.6	-26.6	1.42	40.11
BONA_080-M-30-6-20190826	3.4	-26.5	0.19	4.04
BONA_006-O-2-31.5-20190828	2.9	-26.4	0.63	23.71
BONA_006-M-2-31.5-20190828	4.1	-25.8	0.23	6.67
BONA_013-M-31-29.5-20190828	4.1	-26.5	0.14	2.51
BONA_013-O-31-29.5-20190828	1.7	-27.6	0.83	16.27
BONA_006-M-24.5-34.5-20190828	3.6	-23.9	0.76	22.47
BONA_006-O-24.5-34.5-20190828	2.4	-28.5	0.94	46.7
BONA_006-O-24.5-34.5-20190828	2.7	-28.3	0.93	46.38
BONA_013-M-19-30.5-20190828	3.5	-26.7	0.21	4.28
BONA_013-O-19-30.5-20190828	2.3	-28.1	1.57	36.94
BONA_013-M-19-30.5-20190828	3.6	-26.7	0.2	4.15
BONA_006-M-34.5-17.5-20190828	-3.4	-26.4	0.23	7.61
BONA_006-O-34.5-17.5-20190828	2.6	-27.7	1.23	42.88
BONA_013-M-11.5-2.5-20190828	3.3	-27.1	0.16	3.16
BONA_013-O-11.5-2.5-20190828	1.7	-27.2	1.18	24.23
BONA_002-O-6-8.5-20190828	1.7	-27.5	0.76	12.27
BONA_002-M-6-8.5-20190828	2.3	-27.3	0.19	3.01
BONA_009-O-32-16-20190828	1.4	-28.6	1.58	40.45
BONA_009-M-32-16-20190828	3.8	-27.2	0.45	7.04
BONA_002-O-18.5-36-20190828	1	-27.9	1.77	31.82
BONA_002-M-18.5-36-20190828	3.2	-26.8	0.3	4.96
