sampleID	genomicsSampleID	d15N	organicd13C	nitrogenPercent	organicCPercent	soilInWaterpH	soilInCaClpH
TOOL_043-O-5-7-20170719	TOOL_043-O-20170719-COMP	2.5	-25.8	0.78	39.76	4.51	3.45
TOOL_043-O-7.5-31-20170719	TOOL_043-O-20170719-COMP	3.8	-25.7	0.89	34.95	5.51	4.97
TOOL_043-O-32.5-27-20170719	TOOL_043-O-20170719-COMP	3	-26.6	1.9	37.76	5.51	4.34
TOOL_041-O-13-5.5-20170719	TOOL_041-O-20170719-COMP	0.7	-26.1	1.37	43.58	5.55	4.81
TOOL_041-O-4.5-27-20170719	TOOL_041-O-20170719-COMP	-0.7	-26.5	0.92	36.57	4.78	3.69
TOOL_041-O-4.5-27-20170719	TOOL_041-O-20170719-COMP	-0.4	-26.5	0.98	36.85	4.78	3.69
TOOL_041-O-36.5-26-20170719	TOOL_041-O-20170719-COMP	1.6	-26.8	1.48	31.59	5.69	4.96
TOOL_043-M-5-7-20170719	TOOL_043-M-20170719-COMP	2.4	-27.5	0.12	2.59	5.79	4.4
TOOL_041-M-4.5-27-20170719	TOOL_041-M-20170719-COMP	3	-26.1	0.15	3.09	NA	NA
TOOL_042-O-22-9.5-20170719	TOOL_042-O-20170719-COMP	2.8	-25.6	0.93	23.64	5.29	4.47
TOOL_042-O-9.5-15-20170719	TOOL_042-O-20170719-COMP	0.9	-26	1.43	32.83	5.57	4.82
TOOL_042-O-20-33-20170719	TOOL_042-O-20170719-COMP	2.1	-25.7	1.07	40.32	5.2	4.53
TOOL_042-M-9.5-15-20170719	TOOL_042-M-20170719-COMP	2.6	-27.4	0.17	3.97	5.67	4.7
TOOL_042-M-22-9.5-20170719	TOOL_042-M-20170719-COMP	3.7	-27.2	0.17	4.27	5.65	4.34
TOOL_042-M-20-33-20170719	TOOL_042-M-20170719-COMP	3.3	-26.6	0.27	5.65	5.96	4.41
TOOL_044-O-35-14.5-20170719	TOOL_044-O-20170719-COMP	1.8	-25.9	1.51	28.9	5.74	5.36
TOOL_044-O-35-32-20170719	TOOL_044-O-20170719-COMP	2.6	-26.6	1.24	26.67	5.55	5.1
TOOL_044-O-1.5-28.5-20170719	TOOL_044-O-20170719-COMP	0.4	-27.2	1.27	40.6	4.68	4.33
TOOL_044-M-35-32-20170719	TOOL_044-M-20170719-COMP	3.7	-26.5	0.18	3.15	6.07	5.35
TOOL_044-M-35-14.5-20170719	TOOL_044-M-20170719-COMP	2.9	-26.1	0.07	1.15	5.96	5.25
TOOL_044-M-1.5-28.5-20170719	TOOL_044-M-20170719-COMP	2.2	-26.8	0.35	7.51	NA	NA
TOOL_005-O-31.5-6-20170721	TOOL_005-O-20170721-COMP	2.7	-26.6	1.4	40.72	5.86	5.04
TOOL_005-O-16.5-0-20170721	TOOL_005-O-20170721-COMP	2.2	-25.9	1.4	42.15	5.1	4.1
TOOL_005-O-4.5-20.5-20170721	TOOL_005-O-20170721-COMP	2.9	-26.4	1.19	34.06	4.98	4.01
TOOL_005-M-31.5-6-20170721	TOOL_005-M-20170721-COMP	2.8	-27.2	0.26	5.42	5.5	4.52
TOOL_005-M-16.5-0-20170721	TOOL_005-M-20170721-COMP	3.3	-26.6	0.55	10.75	5.09	4.07
TOOL_005-M-16.5-0-20170721	TOOL_005-M-20170721-COMP	3.3	-26.6	0.55	10.54	5.09	4.07
TOOL_005-M-4.5-20.5-20170721	TOOL_005-M-20170721-COMP	3.2	-27.7	0.13	3.1	5.74	4.36
TOOL_006-O-11.5-5.5-20170721	TOOL_006-O-20170721-COMP	1.4	-25.5	1.63	32.84	5.68	4.78
TOOL_006-O-39-35-20170721	TOOL_006-O-20170721-COMP	1.6	-25.9	1.94	39.05	5.67	5.23
TOOL_006-O-34-17.5-20170721	TOOL_006-O-20170721-COMP	2.1	-25.6	2.05	35.69	5.47	4.58
TOOL_006-M-39-35-20170721	TOOL_006-M-20170721-COMP	1.1	-26.7	0.27	5.06	5.35	5.14
TOOL_006-M-34-17.5-20170721	TOOL_006-M-20170721-COMP	1.3	-26.4	0.37	6.4	5.54	4.49
TOOL_002-O-9.5-21.5-20170721	TOOL_002-O-20170721-COMP	3.2	-26.5	2.28	40.43	5.82	5.7
TOOL_002-O-28-1.5-20170721	TOOL_002-O-20170721-COMP	2.5	-26.5	2.13	38.95	6.02	5.66
TOOL_002-O-3-6-20170721	TOOL_002-O-20170721-COMP	3.4	-26	1.81	32.44	6.13	5.95
TOOL_002-O-3-6-20170721	TOOL_002-O-20170721-COMP	3.4	-25.9	1.77	31.72	6.13	5.95
TOOL_001-O-24.5-0-20170721	TOOL_001-O-20170721-COMP	1.9	-26.3	0.78	21.38	5.69	4.65
TOOL_001-O-6-21.5-20170721	TOOL_001-O-20170721-COMP	1.4	-26	1.81	37.12	5.56	4.89
TOOL_001-O-7-18-20170721	TOOL_001-O-20170721-COMP	1.5	-26.1	1.29	31.22	4.99	4.33
TOOL_001-M-24.5-0-20170721	TOOL_001-M-20170721-COMP	-1	-27.5	0.14	3.35	6.17	4.79
TOOL_001-M-7-18-20170721	TOOL_001-M-20170721-COMP	1.4	-27.2	1.27	29.65	5.24	4.06
TOOL_002-M-9.5-21.5-20170721	TOOL_002-M-20170721-COMP	3	-27.2	0.29	5.34	5.57	4.73
TOOL_002-M-3-6-20170721	TOOL_002-M-20170721-COMP	4.2	-26	0.48	7.59	6.43	5.54
TOOL_003-O-0-22.5-20170726	TOOL_003-O-20170726-COMP	1.9	-27.2	2.37	39.01	6.16	5.88
TOOL_003-O-5-14-20170726	TOOL_003-O-20170726-COMP	2.4	-27	2	30.18	6.6	5.79
TOOL_003-O-28-9.5-20170726	TOOL_003-O-20170726-COMP	1.7	-26.2	1.54	26.96	5.96	5.46
TOOL_004-O-3-22.5-20170726	TOOL_004-O-20170726-COMP	1.5	-26.4	1.44	30.76	4.96	4.81
TOOL_004-O-34-34.5-20170726	TOOL_004-O-20170726-COMP	1.8	-26.3	1.5	29.39	5.53	4.31
TOOL_004-M-34-34.5-20170726	TOOL_004-M-20170726-COMP	1.9	-27.3	0.18	3.58	5.72	4.63
TOOL_004-M-3-22.5-20170726	TOOL_004-M-20170726-COMP	1.9	-27.7	0.15	2.87	5.98	4.75
TOOL_004-M-2.5-11.5-20170726	TOOL_004-M-20170726-COMP	3.2	-26.9	0.21	4.13	5.88	4.56
BONA_071-M-6.5-19-20190826	BONA_071-M-20190826-COMP	4.4	-26.3	0.18	3.7	4.88	3.99
BONA_071-M-39-31.5-20190826	BONA_071-M-20190826-COMP	3.9	-27	0.1	2.07	4.99	4.21
BONA_071-M-37-8.5-20190826	BONA_071-M-20190826-COMP	4.1	-25.7	0.58	11.39	5.15	4.29
BONA_071-O-39-31.5-20190826	BONA_071-O-20190826-COMP	1.1	-27.9	0.76	47.09	4.18	3.19
BONA_071-O-37-8.5-20190826	BONA_071-O-20190826-COMP	1.9	-27.4	1.4	43.07	4.46	3.75
BONA_071-O-6.5-19-20190826	BONA_071-O-20190826-COMP	-1.8	-28	1.03	50.6	4.2	3.47
BONA_070-M-26-8.5-20190826	BONA_070-M-20190826-COMP	4.1	-26.6	0.4	8.31	4.89	4.32
BONA_070-M-30-21.5-20190826	BONA_070-M-20190826-COMP	4.7	-26.3	1.49	35.73	4.89	4.21
BONA_070-M-3-13.5-20190826	BONA_070-M-20190826-COMP	2.5	-26.5	0.51	11.14	4.99	4.16
BONA_070-O-26-8.5-20190826	BONA_070-O-20190826-COMP	1.2	-28.7	1.25	50.48	4.41	3.49
