sampleID	genomicsSampleID
BARR_054-O-25.5-8-20170807	BARR_054-O-20170807-COMP
BARR_054-O-8-3.5-20170807	BARR_054-O-20170807-COMP
BARR_054-O-2.5-27-20170807	BARR_054-O-20170807-COMP
BARR_003-O-8-14-20170807	BARR_003-O-20170807-COMP
BARR_003-O-34.5-36-20170807	BARR_003-O-20170807-COMP
BARR_003-O-3-30.5-20170807	BARR_003-O-20170807-COMP
BARR_006-O-11.5-38-20170807	BARR_006-O-20170807-COMP
BARR_006-O-32.5-32-20170807	BARR_006-O-20170807-COMP
BARR_006-O-1-2-20170807	BARR_006-O-20170807-COMP
BARR_053-O-2-32-20170808	BARR_053-O-20170808-COMP
BARR_053-O-36-2-20170808	BARR_053-O-20170808-COMP
BARR_053-O-2.5-11-20170808	BARR_053-O-20170808-COMP
BARR_002-O-1-19.5-20170808	BARR_002-O-20170808-COMP
BARR_002-O-5.5-29-20170808	BARR_002-O-20170808-COMP
BARR_002-O-37-10.5-20170808	BARR_002-O-20170808-COMP
BARR_051-O-15.5-30-20170808	BARR_051-O-20170808-COMP
BARR_051-O-33.5-12-20170808	BARR_051-O-20170808-COMP
BARR_051-O-37.5-31-20170808	BARR_051-O-20170808-COMP
BARR_052-O-31.5-7.5-20170808	BARR_052-O-20170808-COMP
BARR_052-O-8-25-20170808	BARR_052-O-20170808-COMP
BARR_052-O-10.5-8.5-20170808	BARR_052-O-20170808-COMP
BARR_004-O-4-33.5-20170809	BARR_004-O-20170809-COMP
BARR_004-O-25-33.5-20170809	BARR_004-O-20170809-COMP
BARR_004-O-5-5.5-20170809	BARR_004-O-20170809-COMP
BARR_001-O-34-33-20170809	BARR_001-O-20170809-COMP
BARR_001-O-29-2.5-20170809	BARR_001-O-20170809-COMP
BARR_001-O-19-31-20170809	BARR_001-O-20170809-COMP
BARR_005-O-21-7-20170809	BARR_005-O-20170809-COMP
BARR_005-O-6.5-1.5-20170809	BARR_005-O-20170809-COMP
BARR_005-O-10-31.5-20170809	BARR_005-O-20170809-COMP
TOOL_043-O-5-7-20170719	TOOL_043-O-20170719-COMP
TOOL_043-O-7.5-31-20170719	TOOL_043-O-20170719-COMP
TOOL_043-O-32.5-27-20170719	TOOL_043-O-20170719-COMP
TOOL_041-O-13-5.5-20170719	TOOL_041-O-20170719-COMP
TOOL_041-O-4.5-27-20170719	TOOL_041-O-20170719-COMP
TOOL_041-O-36.5-26-20170719	TOOL_041-O-20170719-COMP
TOOL_043-M-5-7-20170719	TOOL_043-M-20170719-COMP
TOOL_041-M-4.5-27-20170719	TOOL_041-M-20170719-COMP
TOOL_042-O-22-9.5-20170719	TOOL_042-O-20170719-COMP
TOOL_042-O-9.5-15-20170719	TOOL_042-O-20170719-COMP
TOOL_042-O-20-33-20170719	TOOL_042-O-20170719-COMP
TOOL_042-M-9.5-15-20170719	TOOL_042-M-20170719-COMP
TOOL_042-M-22-9.5-20170719	TOOL_042-M-20170719-COMP
TOOL_042-M-20-33-20170719	TOOL_042-M-20170719-COMP
TOOL_044-O-35-14.5-20170719	TOOL_044-O-20170719-COMP
TOOL_044-O-35-32-20170719	TOOL_044-O-20170719-COMP
TOOL_044-O-1.5-28.5-20170719	TOOL_044-O-20170719-COMP
TOOL_044-M-35-32-20170719	TOOL_044-M-20170719-COMP
TOOL_044-M-35-14.5-20170719	TOOL_044-M-20170719-COMP
TOOL_044-M-1.5-28.5-20170719	TOOL_044-M-20170719-COMP
TOOL_005-O-31.5-6-20170721	TOOL_005-O-20170721-COMP
TOOL_005-O-16.5-0-20170721	TOOL_005-O-20170721-COMP
TOOL_005-O-4.5-20.5-20170721	TOOL_005-O-20170721-COMP
TOOL_005-M-31.5-6-20170721	TOOL_005-M-20170721-COMP
TOOL_005-M-16.5-0-20170721	TOOL_005-M-20170721-COMP
TOOL_005-M-4.5-20.5-20170721	TOOL_005-M-20170721-COMP
TOOL_006-O-11.5-5.5-20170721	TOOL_006-O-20170721-COMP
TOOL_006-O-39-35-20170721	TOOL_006-O-20170721-COMP
TOOL_006-O-34-17.5-20170721	TOOL_006-O-20170721-COMP
TOOL_006-M-39-35-20170721	TOOL_006-M-20170721-COMP
TOOL_006-M-34-17.5-20170721	TOOL_006-M-20170721-COMP
TOOL_002-O-9.5-21.5-20170721	TOOL_002-O-20170721-COMP
TOOL_002-O-28-1.5-20170721	TOOL_002-O-20170721-COMP
TOOL_002-O-3-6-20170721	TOOL_002-O-20170721-COMP
TOOL_001-O-24.5-0-20170721	TOOL_001-O-20170721-COMP
TOOL_001-O-6-21.5-20170721	TOOL_001-O-20170721-COMP
TOOL_001-O-7-18-20170721	TOOL_001-O-20170721-COMP
TOOL_001-M-24.5-0-20170721	TOOL_001-M-20170721-COMP
TOOL_001-M-7-18-20170721	TOOL_001-M-20170721-COMP
TOOL_002-M-9.5-21.5-20170721	TOOL_002-M-20170721-COMP
TOOL_002-M-3-6-20170721	TOOL_002-M-20170721-COMP
TOOL_003-O-0-22.5-20170726	TOOL_003-O-20170726-COMP
TOOL_003-O-5-14-20170726	TOOL_003-O-20170726-COMP
TOOL_003-O-28-9.5-20170726	TOOL_003-O-20170726-COMP
TOOL_004-O-3-22.5-20170726	TOOL_004-O-20170726-COMP
TOOL_004-O-34-34.5-20170726	TOOL_004-O-20170726-COMP
TOOL_004-M-34-34.5-20170726	TOOL_004-M-20170726-COMP
TOOL_004-M-3-22.5-20170726	TOOL_004-M-20170726-COMP
TOOL_004-M-2.5-11.5-20170726	TOOL_004-M-20170726-COMP
TOOL_043-O-12-6.5-20180806	TOOL_043-O-20180806-COMP
TOOL_043-O-36-4.5-20180806	TOOL_043-O-20180806-COMP
TOOL_043-O-9-27.5-20180806	TOOL_043-O-20180806-COMP
TOOL_044-O-7-33.5-20180806	TOOL_044-O-20180806-COMP
TOOL_044-O-29-4-20180806	TOOL_044-O-20180806-COMP
TOOL_044-O-2-6.5-20180806	TOOL_044-O-20180806-COMP
TOOL_041-O-36.5-30.5-20180806	TOOL_041-O-20180806-COMP
TOOL_041-O-4-21.5-20180806	TOOL_041-O-20180806-COMP
TOOL_041-O-0.5-17.5-20180806	TOOL_041-O-20180806-COMP
TOOL_042-O-13-5.5-20180806	TOOL_042-O-20180806-COMP
TOOL_042-O-37-5-20180806	TOOL_042-O-20180806-COMP
TOOL_042-O-8.5-27-20180806	TOOL_042-O-20180806-COMP
TOOL_001-O-37-16.5-20180807	TOOL_001-O-20180807-COMP
TOOL_001-O-37-28-20180807	TOOL_001-O-20180807-COMP
TOOL_001-O-10.5-35.5-20180807	TOOL_001-O-20180807-COMP
TOOL_006-O-7.5-23-20180807	TOOL_006-O-20180807-COMP
TOOL_006-O-33-36-20180807	TOOL_006-O-20180807-COMP
TOOL_006-O-30.5-3.5-20180807	TOOL_006-O-20180807-COMP
TOOL_005-O-8.5-0-20180807	TOOL_005-O-20180807-COMP
TOOL_005-O-28.5-38-20180807	TOOL_005-O-20180807-COMP
TOOL_005-O-35-9.5-20180807	TOOL_005-O-20180807-COMP
TOOL_002-O-2.5-0.5-20180807	TOOL_002-O-20180807-COMP
TOOL_002-O-22.5-1-20180807	TOOL_002-O-20180807-COMP
TOOL_002-O-7-31-20180807	TOOL_002-O-20180807-COMP
TOOL_004-O-5.5-34.5-20180808	TOOL_004-O-20180808-COMP
TOOL_004-O-1-15.5-20180808	TOOL_004-O-20180808-COMP
TOOL_004-O-37.5-10.5-20180808	TOOL_004-O-20180808-COMP
TOOL_003-O-4-9-20180808	TOOL_003-O-20180808-COMP
TOOL_003-O-21.5-30-20180808	TOOL_003-O-20180808-COMP
TOOL_003-O-7-30.5-20180808	TOOL_003-O-20180808-COMP
TOOL_044-O-16-39.5-20190806	TOOL_044-O-20190806-COMP
TOOL_044-O-34.5-10.5-20190806	TOOL_044-O-20190806-COMP
TOOL_044-O-36-31-20190806	TOOL_044-O-20190806-COMP
TOOL_002-O-18-1-20190806	TOOL_002-O-20190806-COMP
TOOL_002-O-9.5-20.5-20190806	TOOL_002-O-20190806-COMP
TOOL_002-O-35.5-26-20190806	TOOL_002-O-20190806-COMP
TOOL_042-O-1-5-20190806	TOOL_042-O-20190806-COMP
TOOL_042-O-31.5-5.5-20190806	TOOL_042-O-20190806-COMP
TOOL_042-O-39.5-33.5-20190806	TOOL_042-O-20190806-COMP
TOOL_041-O-28.5-35-20190806	TOOL_041-O-20190806-COMP
TOOL_041-O-17-31.5-20190806	TOOL_041-O-20190806-COMP
