uid	domainID	siteID	plotID	namedLocation	startDate	collectDate	eventID	samplingProtocolVersion	genomicsPooledIDList	genomicsSampleID	genomicsSampleCode	sampleCondition	processedBy	remarks	genomicsDataQF	publicationDate	release
c385e30a-11a4-4be2-aa53-a4ff85d25d4b	D18	BARR	BARR_054	BARR_054.basePlot.bgc	2017-08-07T20:03:00Z	2017-08-07T21:21:00Z	NA	NEON.DOC.014048vJ	BARR_054-O-25.5-8-20170807|BARR_054-O-8-3.5-20170807|BARR_054-O-2.5-27-20170807	BARR_054-O-20170807-COMP	NA	OK	sfrost@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
cd639edc-68b4-4417-a25f-c0259674ff6b	D18	BARR	BARR_003	BARR_003.basePlot.bgc	2017-08-07T23:50:00Z	2017-08-08T01:05:00Z	NA	NEON.DOC.014048vJ	BARR_003-O-8-14-20170807|BARR_003-O-34.5-36-20170807|BARR_003-O-3-30.5-20170807	BARR_003-O-20170807-COMP	NA	OK	sfrost@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
e5bc488f-10e3-4511-8296-d71f283f9dfc	D18	BARR	BARR_006	BARR_006.basePlot.bgc	2017-08-07T23:51:00Z	2017-08-08T01:16:00Z	NA	NEON.DOC.004130vA	BARR_006-O-11.5-38-20170807|BARR_006-O-32.5-32-20170807|BARR_006-O-1-2-20170807	BARR_006-O-20170807-COMP	NA	OK	AVazquez@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
8b768eb6-b449-41e8-9cc8-e3a93e866973	D18	BARR	BARR_053	BARR_053.basePlot.bgc	2017-08-08T18:07:00Z	2017-08-08T19:49:00Z	NA	NEON.DOC.004130vA	BARR_053-O-2-32-20170808|BARR_053-O-36-2-20170808|BARR_053-O-2.5-11-20170808	BARR_053-O-20170808-COMP	NA	OK	Sfrost@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
9fc44c2e-b2ba-4702-b3c0-bf0d244148eb	D18	BARR	BARR_002	BARR_002.basePlot.bgc	2017-08-08T20:16:00Z	2017-08-09T07:07:00Z	NA	NEON.DOC.014048vJ	BARR_002-O-1-19.5-20170808|BARR_002-O-5.5-29-20170808|BARR_002-O-37-10.5-20170808	BARR_002-O-20170808-COMP	NA	OK	AVazquez@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
c75ca50d-abc3-4065-94e1-d399c8b22fd2	D18	BARR	BARR_051	BARR_051.basePlot.bgc	2017-08-08T20:58:00Z	2017-08-08T22:16:00Z	NA	NEON.DOC.014048vJ	BARR_051-O-15.5-30-20170808|BARR_051-O-33.5-12-20170808|BARR_051-O-37.5-31-20170808	BARR_051-O-20170808-COMP	NA	OK	Sfrost@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
833fee26-ccaa-4312-9d58-1641a4a3333c	D18	BARR	BARR_052	BARR_052.basePlot.bgc	2017-08-08T21:36:00Z	2017-08-08T23:17:00Z	NA	NEON.DOC.014048vJ	BARR_052-O-31.5-7.5-20170808|BARR_052-O-8-25-20170808|BARR_052-O-10.5-8.5-20170808	BARR_052-O-20170808-COMP	NA	OK	AVazquez@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
478d3882-934f-4873-bdd4-1194ca5c144d	D18	BARR	BARR_004	BARR_004.basePlot.bgc	2017-08-09T18:07:00Z	2017-08-09T18:58:00Z	NA	NEON.DOC.004130vA	BARR_004-O-4-33.5-20170809|BARR_004-O-25-33.5-20170809|BARR_004-O-5-5.5-20170809	BARR_004-O-20170809-COMP	NA	OK	jcurtis@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
4f2668e7-9e74-4aec-bb18-743479a06ecc	D18	BARR	BARR_001	BARR_001.basePlot.bgc	2017-08-09T18:30:00Z	2017-08-09T19:13:00Z	NA	NEON.DOC.004130vA	BARR_001-O-34-33-20170809|BARR_001-O-29-2.5-20170809|BARR_001-O-19-31-20170809	BARR_001-O-20170809-COMP	NA	OK	AVazquez@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
8b318b6b-dd9c-40eb-817c-756b2c01ad63	D18	BARR	BARR_005	BARR_005.basePlot.bgc	2017-08-09T21:00:00Z	2017-08-09T21:24:00Z	NA	NEON.DOC.004130vA	BARR_005-O-21-7-20170809|BARR_005-O-6.5-1.5-20170809|BARR_005-O-10-31.5-20170809	BARR_005-O-20170809-COMP	NA	OK	AVazquez@battelleecology.org	NA	NA	20221122T170454Z	RELEASE-2023
34d304e2-7ce3-44dd-ae7a-6416083ddb27	D18	TOOL	TOOL_043	TOOL_043.basePlot.bgc	2017-07-19T17:42:00Z	2017-07-19T19:37:00Z	NA	NEON.DOC.014048vF	TOOL_043-O-5-7-20170719|TOOL_043-O-7.5-31-20170719|TOOL_043-O-32.5-27-20170719	TOOL_043-O-20170719-COMP	NA	OK	sfrost@battelleecology.org	NA	NA	20221122T181448Z	RELEASE-2023
17bbb56a-4829-48f1-ba73-2ef4b785bb8f	D18	TOOL	TOOL_041	TOOL_041.basePlot.bgc	2017-07-19T17:50:00Z	2017-07-19T20:00:00Z	NA	NEON.DOC.014048vF	TOOL_041-O-13-5.5-20170719|TOOL_041-O-4.5-27-20170719|TOOL_041-O-36.5-26-20170719	TOOL_041-O-20170719-COMP	NA	OK	Kjorgenson@battelleecology.org	NA	NA	20221122T181448Z	RELEASE-2023
074852e6-f22e-4d32-a96f-612c6f16a37e	D18	TOOL	TOOL_043	TOOL_043.basePlot.bgc	2017-07-19T18:30:00Z	2017-07-19T18:30:00Z	NA	NEON.DOC.014048vF	TOOL_043-M-5-7-20170719	TOOL_043-M-20170719-COMP	NA	OK	sfrost@battelleecology.org	NA	NA	20221122T181448Z	RELEASE-2023
2e58e2a4-6cd2-4c56-96c7-35df4db4c075	D18	TOOL	TOOL_041	TOOL_041.basePlot.bgc	2017-07-19T18:54:00Z	2017-07-19T18:54:00Z	NA	NEON.DOC.014048vF	TOOL_041-M-4.5-27-20170719	TOOL_041-M-20170719-COMP	NA	OK	Kjorgenson@battelleecology.org	NA	NA	20221122T181448Z	RELEASE-2023
075532df-874b-4799-b518-2e06c0510a48	D18	TOOL	TOOL_042	TOOL_042.basePlot.bgc	2017-07-19T20:51:00Z	2017-07-20T00:49:00Z	NA	NEON.DOC.014048vF	TOOL_042-O-22-9.5-20170719|TOOL_042-O-9.5-15-20170719|TOOL_042-O-20-33-20170719	TOOL_042-O-20170719-COMP	NA	OK	Rtroske@battelleecology.org	NA	NA	20221122T181448Z	RELEASE-2023
42768714-4378-47bc-a8e3-097fcd0cfd44	D18	TOOL	TOOL_042	TOOL_042.basePlot.bgc	2017-07-19T21:09:00Z	2017-07-20T01:13:00Z	NA	NEON.DOC.014048vF	TOOL_042-M-9.5-15-20170719|TOOL_042-M-22-9.5-20170719|TOOL_042-M-20-33-20170719	TOOL_042-M-20170719-COMP	NA	OK	Rtroske@battelleecology.org	NA	NA	20221122T181448Z	RELEASE-2023
c5a52943-32f0-4c68-85e1-37357a51a302	D18	TOOL	TOOL_044	TOOL_044.basePlot.bgc	2017-07-19T22:24:00Z	2017-07-20T02:14:00Z	NA	NEON.DOC.014048vF	TOOL_044-O-35-14.5-20170719|TOOL_044-O-35-32-20170719|TOOL_044-O-1.5-28.5-20170719	TOOL_044-O-20170719-COMP	NA	OK	Kjorgenson@battelleecology.org	NA	NA	20221122T181448Z	RELEASE-2023
