uid	analysisDate	namedLocation	domainID	siteID	plotID	plotType	startDate	collectDate	sampleID	sampleCode	cnSampleID	cnSampleCode	sampleType	acidTreatment	co2Trapped	d15N	organicd13C	nitrogenPercent	organicCPercent	CNratio	cnIsotopeQF	cnPercentQF	isotopeAccuracyQF	percentAccuracyQF	analyticalRepNumber	remarks	laboratoryName	testMethod	instrument	analyzedBy	reviewedBy	dataQF	publicationDate	release
054223c0-4ddd-4693-b25a-29d4315687b2	2018-02-07T00:00:00Z	TOOL_043.basePlot.bgc	D18	TOOL	TOOL_043	tower	2017-07-19T17:42:00Z	2017-07-19T17:42:00Z	TOOL_043-O-5-7-20170719	NA	TOOL_043-O-5-7-20170719-CN	NA	soil	N	NA	2.5	-25.8	0.78	39.76	50.8	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
0430f297-3f6e-4536-9542-7219d1f0b7e2	2018-02-07T00:00:00Z	TOOL_041.basePlot.bgc	D18	TOOL	TOOL_041	tower	2017-07-19T17:50:00Z	2017-07-19T17:50:00Z	TOOL_041-O-13-5.5-20170719	NA	TOOL_041-O-13-5.5-20170719-CN	NA	soil	N	NA	0.7	-26.1	1.37	43.58	31.7	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
da60d848-543a-4d6a-82f5-757f6cd861f6	2018-01-22T00:00:00Z	TOOL_043.basePlot.bgc	D18	TOOL	TOOL_043	tower	2017-07-19T18:30:00Z	2017-07-19T18:30:00Z	TOOL_043-M-5-7-20170719	NA	TOOL_043-M-5-7-20170719-CN	NA	soil	N	NA	2.4	-27.5	0.12	2.59	21.6	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
b970e1d9-bfe2-497e-9c3b-7e88c743c5c6	2018-02-07T00:00:00Z	TOOL_041.basePlot.bgc	D18	TOOL	TOOL_041	tower	2017-07-19T18:38:00Z	2017-07-19T18:38:00Z	TOOL_041-O-4.5-27-20170719	NA	TOOL_041-O-4.5-27-20170719-CN	NA	soil	N	NA	-0.7	-26.5	0.92	36.57	39.9	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
6954b0bf-01b0-492d-932d-4f746681ee61	2018-02-07T00:00:00Z	TOOL_041.basePlot.bgc	D18	TOOL	TOOL_041	tower	2017-07-19T18:38:00Z	2017-07-19T18:38:00Z	TOOL_041-O-4.5-27-20170719	NA	TOOL_041-O-4.5-27-20170719-CN	NA	soil	N	NA	-0.4	-26.5	0.98	36.85	37.5	OK	OK	OK	OK	2	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
7c227d2b-ff22-4d44-a856-6b5e0b5825e0	2018-01-22T00:00:00Z	TOOL_041.basePlot.bgc	D18	TOOL	TOOL_041	tower	2017-07-19T18:54:00Z	2017-07-19T18:54:00Z	TOOL_041-M-4.5-27-20170719	NA	TOOL_041-M-4.5-27-20170719-CN	NA	soil	N	NA	3	-26.1	0.15	3.09	20.7	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod	20221122T181448Z	RELEASE-2023
07275268-8bc7-4406-8be3-527c0ce1da93	2018-02-07T00:00:00Z	TOOL_043.basePlot.bgc	D18	TOOL	TOOL_043	tower	2017-07-19T18:58:00Z	2017-07-19T18:58:00Z	TOOL_043-O-7.5-31-20170719	NA	TOOL_043-O-7.5-31-20170719-CN	NA	soil	N	NA	3.8	-25.7	0.89	34.95	39.2	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
69982b46-0c6c-4928-b4fe-713516da0823	2018-02-07T00:00:00Z	TOOL_043.basePlot.bgc	D18	TOOL	TOOL_043	tower	2017-07-19T19:37:00Z	2017-07-19T19:37:00Z	TOOL_043-O-32.5-27-20170719	NA	TOOL_043-O-32.5-27-20170719-CN	NA	soil	N	NA	3	-26.6	1.9	37.76	19.9	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
a0c8bb4d-a859-48a7-851e-3530695dabbc	2018-02-07T00:00:00Z	TOOL_041.basePlot.bgc	D18	TOOL	TOOL_041	tower	2017-07-19T20:00:00Z	2017-07-19T20:00:00Z	TOOL_041-O-36.5-26-20170719	NA	TOOL_041-O-36.5-26-20170719-CN	NA	soil	N	NA	1.6	-26.8	1.48	31.59	21.3	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
3f4f6dbd-a84a-4fbb-a5aa-cefc74a3e133	2018-02-07T00:00:00Z	TOOL_042.basePlot.bgc	D18	TOOL	TOOL_042	tower	2017-07-19T20:51:00Z	2017-07-19T20:51:00Z	TOOL_042-O-9.5-15-20170719	NA	TOOL_042-O-9.5-15-20170719-CN	NA	soil	N	NA	0.9	-26	1.43	32.83	23	OK	OK	OK	OK	1	NA	University of Wyoming Stable Isotope Facility	010 EA-IRMS organic d15N, d13C, C% & N%	Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface	bEP9Ut5BMUSEVHTehx6p8Q==	L/6ZjMlRllRQ+sQbi+7sFw==	alaskaDeprecatedMethod|dryingProtocolError	20221122T181448Z	RELEASE-2023
