sampleID	soilInWaterpH	soilInCaClpH
TOOL_043-O-5-7-20170719	4.51	3.45
TOOL_041-O-13-5.5-20170719	5.55	4.81
TOOL_043-M-5-7-20170719	5.79	4.4
TOOL_041-O-4.5-27-20170719	4.78	3.69
TOOL_043-O-7.5-31-20170719	5.51	4.97
TOOL_043-O-32.5-27-20170719	5.51	4.34
TOOL_041-O-36.5-26-20170719	5.69	4.96
TOOL_042-O-9.5-15-20170719	5.57	4.82
TOOL_042-M-9.5-15-20170719	5.67	4.7
TOOL_042-O-22-9.5-20170719	5.29	4.47
TOOL_042-M-22-9.5-20170719	5.65	4.34
TOOL_044-O-1.5-28.5-20170719	4.68	4.33
TOOL_042-O-20-33-20170719	5.2	4.53
TOOL_044-O-35-32-20170719	5.55	5.1
TOOL_044-M-35-32-20170719	6.07	5.35
TOOL_042-M-20-33-20170719	5.96	4.41
TOOL_044-O-35-14.5-20170719	5.74	5.36
TOOL_044-M-35-14.5-20170719	5.96	5.25
TOOL_005-O-16.5-0-20170721	5.1	4.1
TOOL_005-M-16.5-0-20170721	5.09	4.07
TOOL_005-O-31.5-6-20170721	5.86	5.04
TOOL_006-O-39-35-20170721	5.67	5.23
TOOL_006-M-39-35-20170721	5.35	5.14
TOOL_005-M-31.5-6-20170721	5.5	4.52
TOOL_006-O-34-17.5-20170721	5.47	4.58
TOOL_005-O-4.5-20.5-20170721	4.98	4.01
TOOL_005-M-4.5-20.5-20170721	5.74	4.36
TOOL_006-M-34-17.5-20170721	5.54	4.49
TOOL_006-O-11.5-5.5-20170721	5.68	4.78
TOOL_002-O-9.5-21.5-20170721	5.82	5.7
TOOL_001-O-7-18-20170721	4.99	4.33
TOOL_001-M-7-18-20170721	5.24	4.06
TOOL_002-M-9.5-21.5-20170721	5.57	4.73
TOOL_001-O-6-21.5-20170721	5.56	4.89
TOOL_002-O-3-6-20170721	6.13	5.95
TOOL_001-M-24.5-0-20170721	6.17	4.79
TOOL_002-M-3-6-20170721	6.43	5.54
TOOL_001-O-24.5-0-20170721	5.69	4.65
TOOL_002-O-28-1.5-20170721	6.02	5.66
TOOL_003-O-0-22.5-20170726	6.16	5.88
TOOL_004-O-34-34.5-20170726	5.53	4.31
TOOL_003-O-5-14-20170726	6.6	5.79
TOOL_003-O-28-9.5-20170726	5.96	5.46
TOOL_004-O-3-22.5-20170726	4.96	4.81
TOOL_004-M-3-22.5-20170726	5.98	4.75
TOOL_004-M-2.5-11.5-20170726	5.88	4.56
TOOL_004-M-34-34.5-20170726	5.72	4.63
BONA_071-O-6.5-19-20190826	4.2	3.47
BONA_071-M-6.5-19-20190826	4.88	3.99
BONA_071-O-37-8.5-20190826	4.46	3.75
BONA_071-M-37-8.5-20190826	5.15	4.29
BONA_071-M-39-31.5-20190826	4.99	4.21
BONA_071-O-39-31.5-20190826	4.18	3.19
BONA_070-O-26-8.5-20190826	4.41	3.49
BONA_070-M-26-8.5-20190826	4.89	4.32
BONA_080-O-5-9-20190826	4.38	3.43
BONA_080-M-5-9-20190826	4.82	4.03
BONA_080-O-8.5-24-20190826	4.54	3.74
BONA_080-M-8.5-24-20190826	5.08	4.32
BONA_070-O-30-21.5-20190826	4.91	3.64
BONA_070-M-30-21.5-20190826	4.89	4.21
BONA_070-O-3-13.5-20190826	4.91	3.77
BONA_070-M-3-13.5-20190826	4.99	4.16
BONA_080-O-30-6-20190826	4.45	3.57
BONA_080-M-30-6-20190826	5.11	4.06
BONA_006-O-2-31.5-20190828	3.93	3.22
BONA_006-M-2-31.5-20190828	4.28	3.6
BONA_013-O-31-29.5-20190828	4.16	3.33
BONA_013-M-31-29.5-20190828	4.73	3.91
BONA_006-O-24.5-34.5-20190828	4.51	3.04
BONA_006-M-24.5-34.5-20190828	3.86	3.01
BONA_013-O-19-30.5-20190828	4.17	3.55
BONA_013-M-19-30.5-20190828	4.56	3.56
BONA_006-O-34.5-17.5-20190828	4.13	3.39
BONA_006-M-34.5-17.5-20190828	4.77	3.95
